"filename", "language", "C++", "Markdown", "YAML", "JSON", "HTML", "Swift", "XML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 3, 12, 66
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 4, 53
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\compressor_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 24, 68
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\email_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 0, 71, 360
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\geographic_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 6, 19
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\notification_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 6, 88
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\save_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 14, 56
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\authentication\sign_in_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 44, 287
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\authentication\sign_up_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 57, 323
