Date : 2023-10-12 15:53:02
Directory : c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc
Total : 205 files,  20119 codes, 239 comments, 4838 blanks, all 25196 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        159 |     18,548 |         26 |      4,572 |     23,146 |
| C++        |         16 |        561 |        121 |        182 |        864 |
| XML        |         10 |        485 |         42 |         15 |        542 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         94 |          3 |         22 |        119 |
| Swift      |          6 |         74 |          7 |         20 |        101 |
| YAML       |          2 |         59 |         24 |         13 |         96 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          4 |          0 |          2 |          6 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        205 |     20,119 |        239 |      4,838 |     25,196 |
| . (Files)                                                                                                                            |          3 |         60 |         24 |         13 |         97 |
| android                                                                                                                              |         12 |        183 |         43 |         36 |        262 |
| android (Files)                                                                                                                      |          3 |         46 |          0 |         11 |         57 |
| android\app                                                                                                                          |          8 |        132 |         43 |         24 |        199 |
| android\app (Files)                                                                                                                  |          1 |         51 |          3 |         12 |         66 |
| android\app\src                                                                                                                      |          7 |         81 |         40 |         12 |        133 |
| android\app\src\debug                                                                                                                |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                                 |          5 |         75 |         32 |         10 |        117 |
| android\app\src\main (Files)                                                                                                         |          1 |         49 |          0 |          4 |         53 |
| android\app\src\main\res                                                                                                             |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                              |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                                  |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                                      |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                  |        159 |     18,548 |         26 |      4,572 |     23,146 |
| lib (Files)                                                                                                                          |          2 |         80 |          0 |         12 |         92 |
| lib\api                                                                                                                              |          5 |        470 |          0 |        121 |        591 |
| lib\authentication                                                                                                                   |          2 |        509 |          0 |        101 |        610 |
| lib\connection                                                                                                                       |          2 |         23 |          0 |          6 |         29 |
| lib\data_classes                                                                                                                     |          9 |        872 |          0 |        366 |      1,238 |
| lib\data_query                                                                                                                       |          5 |        438 |          0 |        129 |        567 |
| lib\directory_query                                                                                                                  |          6 |        275 |          0 |        111 |        386 |
| lib\encryption                                                                                                                       |          3 |         54 |          0 |         24 |         78 |
| lib\folder_query                                                                                                                     |          6 |        291 |          0 |        111 |        402 |
| lib\global                                                                                                                           |          2 |        176 |          0 |         34 |        210 |
| lib\helper                                                                                                                           |         15 |        543 |          0 |        166 |        709 |
| lib\interact_dialog                                                                                                                  |         11 |        947 |          0 |        129 |      1,076 |
| lib\interact_dialog (Files)                                                                                                          |          5 |        369 |          0 |         49 |        418 |
| lib\interact_dialog\bottom_trailing                                                                                                  |          2 |        262 |          0 |         29 |        291 |
| lib\interact_dialog\sharing_dialog                                                                                                   |          2 |        200 |          0 |         36 |        236 |
| lib\interact_dialog\text_dialog                                                                                                      |          2 |        116 |          0 |         15 |        131 |
| lib\models                                                                                                                           |          4 |        329 |          0 |        104 |        433 |
| lib\pages                                                                                                                            |         13 |      5,745 |          5 |      1,493 |      7,243 |
| lib\pages (Files)                                                                                                                    |          9 |      4,885 |          4 |      1,322 |      6,211 |
| lib\pages\passcode                                                                                                                   |          2 |        501 |          0 |        102 |        603 |
| lib\pages\sharing                                                                                                                    |          2 |        359 |          1 |         69 |        429 |
| lib\previewer                                                                                                                        |          6 |      1,838 |          0 |        422 |      2,260 |
| lib\provider                                                                                                                         |          6 |        243 |          0 |         84 |        327 |
| lib\public_storage_query                                                                                                             |          8 |        394 |          0 |        169 |        563 |
| lib\sharing_query                                                                                                                    |          7 |        460 |          0 |        175 |        635 |
| lib\themes                                                                                                                           |          2 |        152 |          0 |         23 |        175 |
| lib\ui_dialog                                                                                                                        |          6 |        436 |          2 |         59 |        497 |
| lib\ui_dialog (Files)                                                                                                                |          3 |        262 |          2 |         21 |        285 |
| lib\ui_dialog\loading                                                                                                                |          3 |        174 |          0 |         38 |        212 |
| lib\upgrades                                                                                                                         |          5 |        850 |          0 |        185 |      1,035 |
| lib\user_settings                                                                                                                    |          6 |        904 |          0 |        209 |      1,113 |
| lib\widgets                                                                                                                          |         28 |      2,519 |         19 |        339 |      2,877 |
| lib\widgets (Files)                                                                                                                  |         16 |      1,070 |         19 |        134 |      1,223 |
| lib\widgets\bottom_trailing_widgets                                                                                                  |          7 |        851 |          0 |        147 |        998 |
| lib\widgets\staggered_list_view.dart                                                                                                 |          5 |        598 |          0 |         58 |        656 |
| linux                                                                                                                                |          5 |        106 |         27 |         38 |        171 |
| linux (Files)                                                                                                                        |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                                        |          2 |         20 |          9 |         11 |         40 |
| macos                                                                                                                                |          6 |        466 |          5 |         16 |        487 |
| macos\Flutter                                                                                                                        |          1 |         28 |          3 |          4 |         35 |
| macos\Runner                                                                                                                         |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                                 |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                                    |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                         |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                      |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                              |          1 |        343 |          0 |          1 |        344 |
| web                                                                                                                                  |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                              |         10 |        454 |         94 |        143 |        691 |
| windows\flutter                                                                                                                      |          2 |         26 |          9 |         11 |         46 |
| windows\runner                                                                                                                       |          8 |        428 |         85 |        132 |        645 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\README.md                                                           | Markdown   |          1 |          0 |          0 |          1 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\analysis_options.yaml                                               | YAML       |          3 |         22 |          4 |         29 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\build.gradle                                            | Groovy     |         51 |          3 |         12 |         66 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\debug\AndroidManifest.xml                           | XML        |          3 |          4 |          1 |          8 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\AndroidManifest.xml                            | XML        |         49 |          0 |          4 |         53 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\res\drawable-v21\launch_background.xml         | XML        |          4 |          7 |          2 |         13 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\res\drawable\launch_background.xml             | XML        |          4 |          7 |          2 |         13 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\res\values-night\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\main\res\values\styles.xml                          | XML        |          9 |          9 |          1 |         19 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\app\src\profile\AndroidManifest.xml                         | XML        |          3 |          4 |          1 |          8 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\build.gradle                                                | Groovy     |         27 |          0 |          5 |         32 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\gradle.properties                                           | Properties |          3 |          0 |          1 |          4 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\gradle\wrapper\gradle-wrapper.properties                    | Properties |          5 |          0 |          1 |          6 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\android\settings.gradle                                             | Groovy     |         16 |          0 |          5 |         21 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\RunnerTests\RunnerTests.swift                                   | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\AppDelegate.swift                                        | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json         | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json       | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md           | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Base.lproj\LaunchScreen.storyboard                       | XML        |         36 |          1 |          1 |         38 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Base.lproj\Main.storyboard                               | XML        |         25 |          1 |          1 |         27 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\ios\Runner\Runner-Bridging-Header.h                                 | C++        |          1 |          0 |          1 |          2 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\compressor_api.dart                                         | Dart       |         44 |          0 |         24 |         68 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\api\email_api.dart                                              | Dart       |        289 |          0 |         71 |        360 |
